100,68289,OL2,Online,"Lewis, T",DANC,Dance,2023,Fall 2023
222,68333,C  ,Studio,"Marble, J",ARTD,Art--Design,2023,Fall 2023
101,51462,B16,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
201,71040,OL1,Online,"Raynal, I",AAS,Asian American Studies,2023,Fall 2023
210,72981,BD6,Discussion/Recitation,"Larson, E",BADM,Business Administration,2023,Fall 2023
501,73045,A  ,Lecture-Discussion,"Hale, T",HT,Health Technology,2023,Fall 2023
199,39678,HON,Lecture-Discussion,"Excell, R",FIN,Finance,2023,Fall 2023
500,45849,G  ,Conference,,CIC,Committee on Inst Cooperation,2023,Fall 2023
100,59052,OL3,Online,"Brandt, B;Condon, E",DANC,Dance,2023,Fall 2023
222,68480,D  ,Studio,"Marble, J",ARTD,Art--Design,2023,Fall 2023
101,51463,B17,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
108,70854,A1 ,Lecture,"Thurston, S",JS,Jewish Studies,2023,Fall 2023
201,71043,OL2,Online,"Lee, Y",AAS,Asian American Studies,2023,Fall 2023
199,10302,,Independent Study,,GRK,Greek,2023,Fall 2023
210,69974,BL ,Lecture,"Larson, E",BADM,Business Administration,2023,Fall 2023
500,45850,H  ,Conference,,CIC,Committee on Inst Cooperation,2023,Fall 2023
220,29823,A  ,Lecture-Discussion,"Ochs, G",AGED,Agricultural Education,2023,Fall 2023
100,33859,OL4,Online,"Brandt, B;Segale, M",DANC,Dance,2023,Fall 2023
101,58868,B19,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
100,54104,A  ,Online,"Wood, A",LER,Labor and Employment Relations,2023,Fall 2023
502,73046,A  ,Lecture-Discussion,"Hale, T",HT,Health Technology,2023,Fall 2023
201,74251,OL3,Online,"Moreira, J",AAS,Asian American Studies,2023,Fall 2023
210,72982,CD1,Discussion/Recitation,"Bahrini, A",BADM,Business Administration,2023,Fall 2023
500,45851,I  ,Conference,,CIC,Committee on Inst Cooperation,2023,Fall 2023
210,61570,AD1,Discussion/Recitation,"Damon, L;Schaefer, J",ENVS,Environmental Studies,2023,Fall 2023
221,50743,AD1,Discussion/Recitation,"Asif, A;Kathiresan, P;Raskie, S",FIN,Finance,2023,Fall 2023
100,33873,OL5,Online,"Gonzalez, G",DANC,Dance,2023,Fall 2023
101,60217,B20,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
100,54106,C  ,Online,"Ashby, S",LER,Labor and Employment Relations,2023,Fall 2023
231,72488,B  ,Online,"Kaufman, B",JS,Jewish Studies,2023,Fall 2023
225,65297,AB1,Studio,"Taher, M",ARTD,Art--Design,2023,Fall 2023
590,10582,,Independent Study,,MICR,Microbiology,2023,Fall 2023
500,45852,J  ,Conference,,CIC,Committee on Inst Cooperation,2023,Fall 2023
201,58967,A  ,Lecture-Discussion,"Tzanetou, A",GRK,Greek,2023,Fall 2023
210,72983,CD2,Discussion/Recitation,"Bahrini, A",BADM,Business Administration,2023,Fall 2023
350,29825,A  ,Lecture-Discussion,"Ochs, G",AGED,Agricultural Education,2023,Fall 2023
210,61577,AD2,Discussion/Recitation,"Damon, L;Nyanzu, F",ENVS,Environmental Studies,2023,Fall 2023
221,37383,AD4,Discussion/Recitation,"Kathiresan, P;Raskie, S",FIN,Finance,2023,Fall 2023
100,78508,OL6,Online,"Brandano, J",DANC,Dance,2023,Fall 2023
101,51437,B21,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
100,51733,ONL,Online,"Ugarte Diaz, C",NRES,Natural Resources and Environmental Sciences,2023,Fall 2023
100,39363,AD1,Discussion/Recitation,"Griffin, C",PS,Political Science,2023,Fall 2023
225,66160,AB2,Studio,"Raheel, S",ARTD,Art--Design,2023,Fall 2023
503,73047,A  ,Lecture-Discussion,"Gupta, A",HT,Health Technology,2023,Fall 2023
215,55765,A  ,Lecture-Discussion,"Kashani, M",AAS,Asian American Studies,2023,Fall 2023
210,72984,CD3,Discussion/Recitation,"Bahrini, A",BADM,Business Administration,2023,Fall 2023
221,37386,AD6,Discussion/Recitation,"Asif, A;Katyal, S;Raskie, S",FIN,Finance,2023,Fall 2023
210,61582,AD3,Discussion/Recitation,"Damon, L;Nyanzu, F",ENVS,Environmental Studies,2023,Fall 2023
101,74102,B22,Lecture-Discussion,"Barbeau, A",BUS,Business,2023,Fall 2023
101,32728,D  ,Lecture-Discussion,"Davies Brenier, L;Hembitskaya-Bortnik, V",RUSS,Russian,2023,Fall 2023
110,54115,A  ,Online,"Ashby, S",LER,Labor and Employment Relations,2023,Fall 2023
100,58317,AD2,Discussion/Recitation,"Griffin, C",PS,Political Science,2023,Fall 2023
401,75015,G  ,Lecture-Discussion,"Tzanetou, A",GRK,Greek,2023,Fall 2023
595,30520,A  ,Conference,"Kehl-Fie, T",MICR,Microbiology,2023,Fall 2023
225,66559,AB3,Studio,"Raheel, S",ARTD,Art--Design,2023,Fall 2023
210,72985,CD4,Discussion/Recitation,"Larson, E",BADM,Business Administration,2023,Fall 2023
335,70177,A  ,Lecture-Discussion,"Goffman, L",JS,Jewish Studies,2023,Fall 2023
221,37404,AD7,Discussion/Recitation,"Kathiresan, P;Raskie, S",FIN,Finance,2023,Fall 2023
