ACCY,201,36530,Accounting and Accountancy I,DIS,3,1,4,8,5,2,4,0,1,0,0,1,0,3.08,"Fisher, Mitchell B",Fall,2019
ACCY,201,36536,Accounting and Accountancy I,DIS,3,4,4,4,5,2,1,2,2,0,2,0,1,2.93,"Fisher, Mitchell B",Fall,2019
ACCY,201,36538,Accounting and Accountancy I,DIS,1,2,2,4,4,6,6,7,0,3,0,0,1,2.57,"Fisher, Mitchell B",Fall,2019
ACCY,201,36543,Accounting and Accountancy I,DIS,1,2,6,3,9,4,5,0,0,0,2,0,0,2.98,"Fisher, Mitchell B",Fall,2019
ACCY,202,36552,Accounting and Accountancy II,DIS,1,9,1,3,5,3,1,1,0,0,1,0,0,3.28,"Shapland, Julia P",Fall,2019
ACCY,202,36556,Accounting and Accountancy II,DIS,3,2,5,4,6,2,2,1,0,0,1,0,1,3.06,"Shapland, Julia P",Fall,2019
ACCY,202,36560,Accounting and Accountancy II,DIS,3,3,4,3,7,0,1,3,4,0,0,0,0,3.02,"Shapland, Julia P",Fall,2019
ACCY,202,36565,Accounting and Accountancy II,DIS,8,5,2,2,10,1,0,2,1,0,0,0,0,3.37,"Shapland, Julia P",Fall,2019
ACCY,202,36568,Accounting and Accountancy II,DIS,5,9,1,5,6,1,0,0,0,0,0,0,1,3.46,"Shapland, Julia P",Fall,2019
ACCY,202,36574,Accounting and Accountancy II,DIS,3,5,0,8,5,4,1,2,0,0,0,0,0,3.24,"Shapland, Julia P",Fall,2019
ACCY,202,71329,Accounting and Accountancy II,DIS,3,6,0,1,4,4,1,1,3,0,1,0,0,3.01,"Shapland, Julia P",Fall,2019
ACCY,202,71331,Accounting and Accountancy II,DIS,4,6,2,4,6,3,0,2,1,0,1,0,0,3.22,"Shapland, Julia P",Fall,2019
ACCY,202,71332,Accounting and Accountancy II,DIS,3,7,0,8,5,0,3,2,1,0,0,0,1,3.14,"Shapland, Julia P",Fall,2019
ACCY,301,36577,Atg Measurement & Disclosure,LCD,2,2,7,5,5,3,2,2,2,0,0,0,0,3.11,"Davis, Gregory L",Fall,2019
ACCY,301,36581,Atg Measurement & Disclosure,LCD,9,7,2,4,2,2,0,0,0,0,2,0,0,3.5,"Davis, Gregory L",Fall,2019
ACCY,301,36584,Atg Measurement & Disclosure,LCD,1,6,10,5,4,2,0,3,0,0,0,0,0,3.38,"Wang, Zhiguang",Fall,2019
ACCY,301,36587,Atg Measurement & Disclosure,LCD,1,5,6,5,1,5,2,1,0,1,0,0,1,3.11,"Sougiannis, Theodore",Fall,2019
ACCY,301,36590,Atg Measurement & Disclosure,LCD,0,5,7,7,3,6,0,1,1,0,0,0,0,3.26,"Sougiannis, Theodore",Fall,2019
ACCY,301,36592,Atg Measurement & Disclosure,LCD,0,3,9,10,4,2,1,0,0,0,0,0,0,3.38,"Wang, Zhiguang",Fall,2019
ACCY,301,36598,Atg Measurement & Disclosure,LCD,1,6,6,7,5,3,1,0,1,0,0,0,0,3.34,"Sougiannis, Theodore",Fall,2019
ACCY,301,49255,Atg Measurement & Disclosure,LCD,1,8,5,8,6,1,0,2,0,0,0,0,0,3.41,"Wang, Zhiguang",Fall,2019
ACCY,302,36610,Decision Making for Atg,LCD,3,5,4,15,6,2,0,0,0,0,0,0,0,3.43,"Chen, Xiaoling",Fall,2019
ACCY,302,36614,Decision Making for Atg,LCD,1,4,7,5,9,8,2,0,0,0,0,0,0,3.2,"Samet, Jordan A",Fall,2019
ACCY,302,36618,Decision Making for Atg,LCD,3,4,6,10,5,2,4,0,0,0,0,0,0,3.32,"Samet, Jordan A",Fall,2019
ACCY,302,36677,Decision Making for Atg,LCD,4,9,4,6,6,3,2,0,1,0,0,0,0,3.4,"Curtis, Susan M",Fall,2019
ACCY,302,36680,Decision Making for Atg,LCD,5,7,7,5,5,3,2,1,0,0,0,0,0,3.43,"Curtis, Susan M",Fall,2019
ACCY,302,36688,Decision Making for Atg,LCD,1,8,9,6,3,5,1,1,0,0,1,0,0,3.33,"Curtis, Susan M",Fall,2019
ACCY,302,49258,Decision Making for Atg,LCD,3,3,12,8,5,5,0,0,0,0,0,0,0,3.42,"Samet, Jordan A",Fall,2019
ACCY,303,36692,Atg Institutions and Reg,LCD,1,2,4,9,6,4,2,1,2,0,0,0,0,3.08,"Zhu, Wei",Fall,2019
ACCY,303,36700,Atg Institutions and Reg,LCD,6,6,5,1,2,2,2,2,2,0,0,0,0,3.32,"Zhu, Wei",Fall,2019
ACCY,303,36701,Atg Institutions and Reg,LCD,1,6,7,7,4,2,1,2,0,0,0,1,0,3.27,"Zhu, Wei",Fall,2019
ACCY,303,36713,Atg Institutions and Reg,LCD,15,6,1,4,2,0,1,1,0,0,0,0,0,3.71,"Godsell, David",Fall,2019
ACCY,303,49259,Atg Institutions and Reg,LCD,7,4,8,2,2,1,2,1,1,0,1,0,1,3.27,"Godsell, David",Fall,2019
ACCY,303,36703,Atg Institutions and Reg,LCD,10,1,0,3,5,3,2,0,0,3,0,2,0,3,"Godsell, David",Fall,2019
ACCY,303,67818,Atg Institutions and Reg,LCD,8,7,3,0,1,4,2,3,0,1,0,0,0,3.33,"Mendoza, Scott A",Fall,2019
ACCY,304,31317,Accounting Control Systems,LCD,0,3,9,7,2,5,4,3,0,0,0,0,0,3.12,"Wu, Martin G",Fall,2019
ACCY,304,31318,Accounting Control Systems,LCD,7,4,9,7,1,3,1,0,0,0,0,0,0,3.55,"Wu, Martin G",Fall,2019
ACCY,304,31319,Accounting Control Systems,LCD,0,12,5,4,9,0,1,0,0,0,1,0,0,3.44,"Kink, Dawn M",Fall,2019
ACCY,304,31320,Accounting Control Systems,LCD,1,9,3,10,6,2,0,0,0,0,0,1,0,3.39,"Hayne, Christie",Fall,2019
ACCY,304,49280,Accounting Control Systems,LCD,0,6,7,9,7,2,1,0,0,0,0,0,1,3.28,"Hayne, Christie",Fall,2019
ACCY,304,62036,Accounting Control Systems,LCD,3,10,3,6,6,4,0,0,0,1,0,0,1,3.32,"Hayne, Christie",Fall,2019
ACCY,312,31321,Principles of Taxation,LCD,2,6,3,4,4,4,2,3,2,0,0,0,0,3.1,"Penn, Michael W",Fall,2019
ACCY,312,31324,Principles of Taxation,LCD,5,10,4,4,2,2,1,1,0,0,0,0,0,3.57,"Penn, Michael W",Fall,2019
ACCY,312,31330,Principles of Taxation,LCD,3,12,3,2,1,2,2,0,2,0,0,0,0,3.48,"Penn, Michael W",Fall,2019
ACCY,312,31332,Principles of Taxation,LCD,3,2,11,5,7,1,0,0,0,0,0,0,0,3.47,"Vuong, Anh",Fall,2019
ACCY,312,31333,Principles of Taxation,LCD,3,5,4,8,3,1,1,1,0,0,1,0,1,3.23,"Holder, Charles B",Fall,2019
ACCY,312,45719,Principles of Taxation,LCD,7,3,3,1,8,2,2,1,0,0,1,0,0,3.26,"Alt, Amanda J",Fall,2019
ACCY,312,45934,Principles of Taxation,LCD,2,2,4,6,10,5,1,0,0,0,0,0,0,3.21,"Vuong, Anh",Fall,2019
ACCY,410,61231,Advanced Financial Reporting,LCD,0,9,5,3,10,1,0,2,0,0,0,0,0,3.35,"Ibrahim, Adel Nematallah",Fall,2019
ACCY,410,62729,Advanced Financial Reporting,LCD,0,11,7,2,8,3,0,0,0,0,0,0,0,3.48,"Ibrahim, Adel Nematallah",Fall,2019
ACCY,410,62730,Advanced Financial Reporting,LCD,4,3,10,7,9,1,0,0,0,0,0,0,0,3.46,"Persson, Martin E",Fall,2019
ACCY,410,62731,Advanced Financial Reporting,LCD,1,6,6,5,9,6,0,0,0,0,0,0,0,3.31,"Persson, Martin E",Fall,2019
ACCY,410,62732,Advanced Financial Reporting,LCD,1,1,5,10,12,2,1,0,0,0,0,0,0,3.23,"Persson, Martin E",Fall,2019
ACCY,415,29676,Auditing Stds and Practice,LCD,0,10,8,11,1,4,4,1,0,0,0,0,1,3.27,"Lullo, Michael J",Fall,2019
