CourseNum,CRN,Section,SectionType,Professors,DepartmentCode,Department,Year,Semester
100,74570,ADE,Discussion/Recitation,"Frame, J;Lazarow, M;Solecki, Z",GGIS,Geography & Geographic Information Science,2024,Spring 2024
100,39598,AD2,Discussion/Recitation,"Alli, G;Koslofsky, C",HIST,History,2024,Spring 2024
210,71034,AL ,Lecture,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
101,56815,C2 ,Lecture-Discussion,"Hill, L;Parodi, M",ITAL,Italian,2024,Spring 2024
201,66638,OL2,Online,"Raynal, I",AAS,Asian American Studies,2024,Spring 2024
100,70302,OL2,Online,"Gilmore, A",DANC,Dance,2024,Spring 2024
101,75761,SD4,Discussion/Recitation,"Powers, K",ENG,Engineering,2024,Spring 2024
495,75870,CS ,Online,"Morgan, E",AGCM,Agricultural Communications,2024,Spring 2024
218,65187,GD2,Studio,"Stephens, N",ARTD,Art--Design,2024,Spring 2024
100,39599,AD3,Discussion/Recitation,"Bozzi Feijo, B;Koslofsky, C",HIST,History,2024,Spring 2024
210,71700,DD2,Discussion/Recitation,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
199,64523,JNP,Lecture,"Pahre, J",LAW,Law,2024,Spring 2024
100,74571,ADF,Discussion/Recitation,"Frame, J;Lazarow, M;Solecki, Z",GGIS,Geography & Geographic Information Science,2024,Spring 2024
101,34694,D1 ,Lecture-Discussion,"Cipolla, S;Hill, L",ITAL,Italian,2024,Spring 2024
199,74490,,Independent Study,,ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
401,46092,E  ,Lecture-Discussion,"Toliver, S",CI,Curriculum and Instruction,2024,Spring 2024
201,65823,OL3,Online,"Lewis, A",AAS,Asian American Studies,2024,Spring 2024
100,63899,OL3,Online,"Emadian, E",DANC,Dance,2024,Spring 2024
201,68641,B  ,Lecture-Discussion,"Ji, M",BUS,Business,2024,Spring 2024
101,73774,SL1,Lecture,"Powers, K",ENG,Engineering,2024,Spring 2024
218,72157,GD3,Studio,"Salamanca Garcia, J",ARTD,Art--Design,2024,Spring 2024
100,39600,AD4,Discussion/Recitation,"Bozzi Feijo, B;Koslofsky, C",HIST,History,2024,Spring 2024
299,53364,A  ,Study Abroad,,MDIA,Media,2024,Spring 2024
100,74572,ADK,Discussion/Recitation,"Adams, A;Frame, J;Ross, T",GGIS,Geography & Geographic Information Science,2024,Spring 2024
210,71703,DD4,Discussion/Recitation,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
101,46384,F1 ,Lecture-Discussion,"Hill, L;Lestani, L",ITAL,Italian,2024,Spring 2024
199,48728,MB ,Lecture-Discussion,"Brinson, M",LAW,Law,2024,Spring 2024
401,46145,M1 ,Lecture-Discussion,"Poetzel, A",CI,Curriculum and Instruction,2024,Spring 2024
100,70303,OL4,Online,"Tecza, A",DANC,Dance,2024,Spring 2024
330,74414,NS1,Lecture,"Best-Popescu, C",NE,Neural Engineering,2024,Spring 2024
201,70067,C  ,Lecture-Discussion,"Ji, M",BUS,Business,2024,Spring 2024
100,74573,ADL,Discussion/Recitation,"Adams, A;Frame, J;Ross, T",GGIS,Geography & Geographic Information Science,2024,Spring 2024
100,39601,AD5,Discussion/Recitation,"Alli, G;Koslofsky, C",HIST,History,2024,Spring 2024
210,71704,DD5,Discussion/Recitation,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
401,46146,S  ,Lecture-Discussion,"Hug, B",CI,Curriculum and Instruction,2024,Spring 2024
200,37737,ONL,Online,"Lambert, K",PLPA,Plant Pathology,2024,Spring 2024
275,75612,AD1,Discussion/Recitation,"Cornell, M;Nguyen, M",AAS,Asian American Studies,2024,Spring 2024
234,74492,AB1,Laboratory,"Flores, F;Raveendran Nair, G",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
100,62058,OL5,Online,"Rogovoy, A",DANC,Dance,2024,Spring 2024
201,70068,D  ,Lecture-Discussion,"Kim, H",BUS,Business,2024,Spring 2024
210,71707,DD6,Discussion/Recitation,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
100,39602,AD6,Discussion/Recitation,"Bozzi Feijo, B;Koslofsky, C",HIST,History,2024,Spring 2024
100,74574,ADM,Discussion/Recitation,"Frame, J;Lazarow, M;Solecki, Z",GGIS,Geography & Geographic Information Science,2024,Spring 2024
102,67017,B  ,Laboratory;Lecture-Discussion,"Odom, M;Odom, M",RHET,Rhetoric and Composition,2024,Spring 2024
102,34703,C2 ,Lecture-Discussion,"Fiorini, E;Hill, L",ITAL,Italian,2024,Spring 2024
228,63648,ST1,Packaged Section;Packaged Section,"Mukachirayil, S;Mukachirayil, S",ARTD,Art--Design,2024,Spring 2024
401,43425,T  ,Lecture-Discussion,"Mann, J",CI,Curriculum and Instruction,2024,Spring 2024
110,70353,EB ,Lecture-Discussion,"Amos, J;Brown, J",ENG,Engineering,2024,Spring 2024
303,69473,AD1,Discussion/Recitation,"Marcinkus, N;Pahre, J",LAW,Law,2024,Spring 2024
572,50258,E  ,Lecture-Discussion,"Yao, M",MDIA,Media,2024,Spring 2024
275,75615,AD2,Discussion/Recitation,"Nguyen, M;Pehl, E",AAS,Asian American Studies,2024,Spring 2024
199,64704,GAO,Online,"Ochs, G",AGED,Agricultural Education,2024,Spring 2024
234,74494,AB2,Laboratory,"Flores, F;Raveendran Nair, G",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
201,70069,E  ,Lecture-Discussion,"Kim, H",BUS,Business,2024,Spring 2024
110,76021,DM ,Lecture-Discussion,"Maroun, D",SLCL,"Literatures, Cultures, and Linguistics",2024,Spring 2024
210,68637,DL ,Lecture,"Larson, E;Pant, S",BADM,Business Administration,2024,Spring 2024
100,74575,ADN,Discussion/Recitation,"Frame, J;Lazarow, M;Solecki, Z",GGIS,Geography & Geographic Information Science,2024,Spring 2024
102,70292,D  ,Laboratory;Lecture-Discussion,"Dickerson, C;Dickerson, C",RHET,Rhetoric and Composition,2024,Spring 2024
100,54515,AD7,Discussion/Recitation,"Koslofsky, C;Kumasenu, G",HIST,History,2024,Spring 2024
395,70277,,Independent Study,,PLPA,Plant Pathology,2024,Spring 2024
410,73816,NS ,Lecture,"Yang, Y",NE,Neural Engineering,2024,Spring 2024
303,69474,AD2,Discussion/Recitation,"Pahre, J;Shim, S",LAW,Law,2024,Spring 2024
102,64363,D  ,Lecture-Discussion,"Hill, L;Vallicelli, C",ITAL,Italian,2024,Spring 2024
366,30973,TM1,Lecture-Discussion,"Sethi, S",TMGT,Technology and Management Courses,2024,Spring 2024
275,75616,AD3,Discussion/Recitation,"Nguyen, M;Pehl, E",AAS,Asian American Studies,2024,Spring 2024
228,51410,ST2,Packaged Section;Packaged Section,"Chen, W;Chen, W",ARTD,Art--Design,2024,Spring 2024
234,74495,AB3,Laboratory,"Flores, F;Raveendran Nair, G",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
201,70070,F  ,Lecture-Discussion,"Szymanski, M",BUS,Business,2024,Spring 2024
116,74237,A  ,Laboratory,"Chiaramonte, D",DANC,Dance,2024,Spring 2024
100,74578,AL2,Lecture,"Frame, J",GGIS,Geography & Geographic Information Science,2024,Spring 2024
100,54516,AD8,Discussion/Recitation,"Koslofsky, C;Kumasenu, G",HIST,History,2024,Spring 2024
102,70291,E  ,Laboratory;Lecture-Discussion,"Nyikos, D;Nyikos, D",RHET,Rhetoric and Composition,2024,Spring 2024
404,31868,E  ,Online,"Moermond, V",CI,Curriculum and Instruction,2024,Spring 2024
303,74685,AD3,Discussion/Recitation,"Marcinkus, N;Pahre, J",LAW,Law,2024,Spring 2024
275,75619,AD4,Discussion/Recitation,"Nguyen, M;Turner, R",AAS,Asian American Studies,2024,Spring 2024
102,34709,E2 ,Lecture-Discussion,"Hill, L;Palmieri, S",ITAL,Italian,2024,Spring 2024
410,73815,NS4,Lecture,"Yang, Y",NE,Neural Engineering,2024,Spring 2024
202,30928,AL1,Lecture-Discussion,"Gathogo, M;Saadah, E",ZULU,Zulu,2024,Spring 2024
111,73390,MIE,Lecture-Discussion,"Chochola, K;Favila, I",ENG,Engineering,2024,Spring 2024
201,70072,H  ,Lecture-Discussion,"Szymanski, M",BUS,Business,2024,Spring 2024
590,51949,,Independent Study,,MDIA,Media,2024,Spring 2024
234,74496,AB4,Laboratory,"Flores, F;Raveendran Nair, G",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
250,29883,A  ,Lecture-Discussion,"Ochs, G",AGED,Agricultural Education,2024,Spring 2024
116,74246,B  ,Laboratory,"Segale, M",DANC,Dance,2024,Spring 2024
102,32878,F1 ,Laboratory;Lecture-Discussion,"McVicker, Z;McVicker, Z",RHET,Rhetoric and Composition,2024,Spring 2024
211,68638,A  ,Lecture-Discussion,"Liu, Z",BADM,Business Administration,2024,Spring 2024
100,54517,AD9,Discussion/Recitation,"Koslofsky, C;Kumasenu, G",HIST,History,2024,Spring 2024
404,31896,M  ,Online,"Gutierrez, R",CI,Curriculum and Instruction,2024,Spring 2024
461,31002,TM ,Laboratory-Discussion,"Kim, H;Sakhartov, A",TMGT,Technology and Management Courses,2024,Spring 2024
