CourseNum,CRN,Section,SectionType,Professors,DepartmentCode,Department,Year,Semester
160,55109,2  ,Lecture,"Leicht, K",SOC,Sociology,2024,Spring 2024
170,36911,AB4,Laboratory,"Ji, H",ME,Mechanical Engineering,2024,Spring 2024
590,55180,,Independent Study,,CB,Comparative Biosciences,2024,Spring 2024
420,70525,1G ,Studio,"Hameed, U;McDonagh, D",ARTD,Art--Design,2024,Spring 2024
432,63327,C4 ,Lecture-Discussion,"Altshuler, M",CI,Curriculum and Instruction,2024,Spring 2024
220,74262,EE ,Laboratory,"Emadian, E",DANC,Dance,2024,Spring 2024
459,50265,UAC,Lecture-Discussion,"Calcaterra, A",AIS,American Indian Studies,2024,Spring 2024
542,68558,G4 ,Lecture-Discussion,"Pagura, R",TRST,Translation Studies,2024,Spring 2024
489,32975,G4 ,Lecture-Discussion,,PORT,Portuguese,2024,Spring 2024
171,34048,ADA,Discussion/Recitation,"Eberhardt, G;Hogarth, R",HIST,History,2024,Spring 2024
105,33272,D5 ,Lecture-Discussion,"Latham, C",RHET,Rhetoric and Composition,2024,Spring 2024
590,10053,,Independent Study,,NEUR,Neuroscience,2024,Spring 2024
310,34511,FT ,Online,"Carrera, N;Deusinger, L",ENG,Engineering,2024,Spring 2024
170,36912,AB5,Laboratory,"Ji, H",ME,Mechanical Engineering,2024,Spring 2024
420,70389,1U ,Studio,"Hameed, U;McDonagh, D",ARTD,Art--Design,2024,Spring 2024
590,76064,D  ,Lecture-Discussion,"Kashani, M;Rana, J;Velasquez Estrada, E",AAS,Asian American Studies,2024,Spring 2024
312,31046,A  ,Lecture-Discussion,"Khessina, O",BADM,Business Administration,2024,Spring 2024
379,74185,ONL,Online,"Kim, G;Minn, M",GGIS,Geography & Geographic Information Science,2024,Spring 2024
220,74971,JB ,Laboratory,"Bowie, J",DANC,Dance,2024,Spring 2024
439,74521,AB1,Laboratory,"Johnson, T",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
542,68562,ONL,Online,"Pagura, R",TRST,Translation Studies,2024,Spring 2024
310,66664,PT ,Online,"Carrera, N;Deusinger, L",ENG,Engineering,2024,Spring 2024
489,32973,U3 ,Lecture-Discussion,,PORT,Portuguese,2024,Spring 2024
601,51610,123,Lecture-Discussion,"Kar, R",LAW,Law,2024,Spring 2024
489,32968,G4 ,Lecture-Discussion,,ITAL,Italian,2024,Spring 2024
171,34051,ADD,Discussion/Recitation,"Eberhardt, G;Hogarth, R",HIST,History,2024,Spring 2024
105,33436,D6 ,Lecture-Discussion,"Gunter, M",RHET,Rhetoric and Composition,2024,Spring 2024
591,55184,1  ,Discussion/Recitation,"Bonthuis, P;Gritton, H",CB,Comparative Biosciences,2024,Spring 2024
170,36913,AL1,Lecture,"Philpott, M",ME,Mechanical Engineering,2024,Spring 2024
161,75944,1  ,Lecture-Discussion,"Dill, B",SOC,Sociology,2024,Spring 2024
312,31048,B  ,Lecture-Discussion,"Khessina, O",BADM,Business Administration,2024,Spring 2024
435,44822,A  ,Online,"Tissenbaum, M",CI,Curriculum and Instruction,2024,Spring 2024
220,69807,JCA,Laboratory,"Rizzuto, R",DANC,Dance,2024,Spring 2024
439,74522,AB2,Laboratory,"Johnson, T",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
491,46273,,Independent Study,,AIS,American Indian Studies,2024,Spring 2024
171,34052,ADE,Discussion/Recitation,"Eberhardt, G;Hogarth, R",HIST,History,2024,Spring 2024
598,54912,A&P,Lecture-Discussion,"Hummel, J",NEUR,Neuroscience,2024,Spring 2024
105,39342,D7 ,Lecture-Discussion,"Foley, D",RHET,Rhetoric and Composition,2024,Spring 2024
489,32966,U3 ,Lecture-Discussion,,ITAL,Italian,2024,Spring 2024
601,49613,12G,Lecture,"Kar, R",LAW,Law,2024,Spring 2024
170,70577,ALP,Lecture,"Philpott, M",ME,Mechanical Engineering,2024,Spring 2024
426,74498,1  ,Lecture,"Ma, Y;Sethi, S",ARTD,Art--Design,2024,Spring 2024
312,31050,C  ,Lecture-Discussion,"Ryu, J",BADM,Business Administration,2024,Spring 2024
380,74186,A  ,Laboratory-Discussion,"Minn, M",GGIS,Geography & Geographic Information Science,2024,Spring 2024
588,35722,AC ,Lecture-Discussion,"Clay, A",PORT,Portuguese,2024,Spring 2024
435,44957,ONL,Online,"Tissenbaum, M",CI,Curriculum and Instruction,2024,Spring 2024
171,34061,AL1,Lecture,"Hogarth, R",HIST,History,2024,Spring 2024
592,55185,,Independent Study,,CB,Comparative Biosciences,2024,Spring 2024
105,32920,D8 ,Lecture-Discussion,"Majewski, H",RHET,Rhetoric and Composition,2024,Spring 2024
580,65520,O  ,Online,"Qian, X",TRST,Translation Studies,2024,Spring 2024
220,74363,OA ,Laboratory,"Ayorinde, O",DANC,Dance,2024,Spring 2024
601,49187,456,Lecture-Discussion,"McClane, J",LAW,Law,2024,Spring 2024
439,74523,AL1,Lecture,"Johnson, T;Reynolds, L",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
377,75368,ALT,Discussion/Recitation,"Powers, K",ENG,Engineering,2024,Spring 2024
598,54898,BN ,Lecture-Discussion,"Liang, N",NEUR,Neuroscience,2024,Spring 2024
312,40317,D  ,Lecture-Discussion,"Khessina, O",BADM,Business Administration,2024,Spring 2024
196,44362,BM ,Lecture-Discussion,"Miles, B",SOC,Sociology,2024,Spring 2024
128,75643,LB1,Laboratory;Lecture,"Leonelli, L;Leonelli, L",ABE,Agricultural and Biological Engineering,2024,Spring 2024
105,51856,D9 ,Lecture-Discussion,"Downey, S",RHET,Rhetoric and Composition,2024,Spring 2024
220,74362,SL ,Laboratory,"Lim, S",DANC,Dance,2024,Spring 2024
491,52951,,Independent Study,,ITAL,Italian,2024,Spring 2024
601,51812,45G,Lecture,"McClane, J",LAW,Law,2024,Spring 2024
377,75369,BLT,Discussion/Recitation,"Powers, K",ENG,Engineering,2024,Spring 2024
598,54900,CC ,Lecture-Discussion,"Todd, N",NEUR,Neuroscience,2024,Spring 2024
501,52586,A  ,Lecture-Discussion,"Rymhs, D",AIS,American Indian Studies,2024,Spring 2024
390,74216,,Independent Study,,GGIS,Geography & Geographic Information Science,2024,Spring 2024
199,10540,,Independent Study,,ME,Mechanical Engineering,2024,Spring 2024
595,10207,,Independent Study,,PORT,Portuguese,2024,Spring 2024
172,34062,ADA,Discussion/Recitation,"Barrett, M;Mandala, R",HIST,History,2024,Spring 2024
596,54863,A  ,Lecture-Discussion,"Flaws, J;Lane, S",CB,Comparative Biosciences,2024,Spring 2024
105,33287,E1 ,Lecture-Discussion,"Menendez, K",RHET,Rhetoric and Composition,2024,Spring 2024
128,75846,LB2,Laboratory;Lecture,"Leonelli, L;Wang, Y;Leonelli, L;Wang, Y",ABE,Agricultural and Biological Engineering,2024,Spring 2024
444,65179,GD1,Studio,"Briggs, M",ARTD,Art--Design,2024,Spring 2024
438,65292,G4 ,Online,"Dyer, E",CI,Curriculum and Instruction,2024,Spring 2024
313,31071,A  ,Lecture-Discussion,"Swenddal, H",BADM,Business Administration,2024,Spring 2024
220,74361,ST1,Laboratory,"Rizzuto, R",DANC,Dance,2024,Spring 2024
467,74526,AB1,Laboratory,"Shajahan, S",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
377,75371,CLT,Discussion/Recitation,"Powers, K",ENG,Engineering,2024,Spring 2024
199,44878,AD2,Lecture,"Smith, M",SOC,Sociology,2024,Spring 2024
598,54896,CN ,Lecture-Discussion,"Barbey, A",NEUR,Neuroscience,2024,Spring 2024
172,34063,ADB,Discussion/Recitation,"Barrett, M;Mandala, R",HIST,History,2024,Spring 2024
595,25627,GG ,Lecture-Discussion,,PORT,Portuguese,2024,Spring 2024
105,33291,E2 ,Lecture-Discussion,"Gomez, T",RHET,Rhetoric and Composition,2024,Spring 2024
199,55918,ADV,Lecture-Discussion,"Philpott, M",ME,Mechanical Engineering,2024,Spring 2024
438,70537,ONL,Online,"Dyer, E",CI,Curriculum and Instruction,2024,Spring 2024
444,65180,GD2,Studio,"Pridemore, J",ARTD,Art--Design,2024,Spring 2024
220,69808,TO ,Laboratory,"O'Connor, T",DANC,Dance,2024,Spring 2024
202,46250,AE1,Laboratory;Lecture-Discussion,"Ozcan, A;Saadah, E;Ozcan, A;Saadah, E",TURK,Turkish,2024,Spring 2024
391,74217,,Independent Study,,GGIS,Geography & Geographic Information Science,2024,Spring 2024
603,53671,C  ,Lecture-Discussion,"Murphy, C",LAW,Law,2024,Spring 2024
377,75373,DLT,Discussion/Recitation,"Kolar, A;Powers, K",ENG,Engineering,2024,Spring 2024
588,35713,AC ,Lecture-Discussion,"Clay, A",ITAL,Italian,2024,Spring 2024
467,74527,AL1,Lecture,"Shajahan, S",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
199,58275,ADV,Lecture,"Smith, M",SOC,Sociology,2024,Spring 2024
599,55186,,Independent Study,,CB,Comparative Biosciences,2024,Spring 2024
172,34064,ADC,Discussion/Recitation,"Barrett, M;Wallis, B",HIST,History,2024,Spring 2024
105,33297,E3 ,Lecture-Discussion,"Kraft, J",RHET,Rhetoric and Composition,2024,Spring 2024
598,54902,COG,Lecture-Discussion,"Hotaling, J",NEUR,Neuroscience,2024,Spring 2024
503,69199,A  ,Seminar,"Ryan Burchfield, R",AIS,American Indian Studies,2024,Spring 2024
199,55799,DES,Laboratory-Discussion,"Philpott, M",ME,Mechanical Engineering,2024,Spring 2024
152,73114,WGE,Online,"Bhattarai, R;Davidson, P;Kalita, P",ABE,Agricultural and Biological Engineering,2024,Spring 2024
314,63687,A  ,Lecture-Discussion,"Loewenstein, J",BADM,Business Administration,2024,Spring 2024
444,69268,GD3,Studio,"Fathinezhad, K;Marble, J",ARTD,Art--Design,2024,Spring 2024
438,70536,UG3,Online,"Dyer, E",CI,Curriculum and Instruction,2024,Spring 2024
603,56049,CG ,Lecture,"Murphy, C",LAW,Law,2024,Spring 2024
172,34065,ADD,Discussion/Recitation,"Barrett, M;Wallis, B",HIST,History,2024,Spring 2024
105,33438,E4 ,Lecture-Discussion,"Lindsey, M",RHET,Rhetoric and Composition,2024,Spring 2024
599,10210,,Independent Study,,PORT,Portuguese,2024,Spring 2024
377,75375,ELT,Discussion/Recitation,"Powers, K",ENG,Engineering,2024,Spring 2024
598,54904,DEV,Lecture-Discussion,"Rizzo, M",NEUR,Neuroscience,2024,Spring 2024
314,66499,B  ,Lecture-Discussion,"Loewenstein, J",BADM,Business Administration,2024,Spring 2024
199,36920,SAE,Laboratory-Discussion,"Philpott, M",ME,Mechanical Engineering,2024,Spring 2024
392,74218,,Independent Study,"Kolak, M",GGIS,Geography & Geographic Information Science,2024,Spring 2024
444,70538,GG1,Studio,"Briggs, M",ARTD,Art--Design,2024,Spring 2024
231,40784,DP ,Laboratory,"Ciofalo, T;Harrington, A;Miguens, M",DANC,Dance,2024,Spring 2024
692,55190,,Independent Study,,CB,Comparative Biosciences,2024,Spring 2024
105,43461,E5 ,Lecture-Discussion,"Mecolli, M",RHET,Rhetoric and Composition,2024,Spring 2024
172,34066,ADE,Discussion/Recitation,"Barrett, M;Mandala, R",HIST,History,2024,Spring 2024
270,70374,A  ,Lecture-Discussion;Online,"Ozcan, A;Saadah, E;Ozcan, A;Saadah, E",TURK,Turkish,2024,Spring 2024
595,10463,,Independent Study,"Rota, E",ITAL,Italian,2024,Spring 2024
377,75771,FLT,Discussion/Recitation,"Powers, K",ENG,Engineering,2024,Spring 2024
200,74296,2  ,Lecture-Discussion,"O'Dowd, Q",SOC,Sociology,2024,Spring 2024
496,74528,,Independent Study,,ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
598,68144,DPC,Lecture-Discussion,"Hankin, B",NEUR,Neuroscience,2024,Spring 2024
199,10141,,Independent Study,,ABE,Agricultural and Biological Engineering,2024,Spring 2024
105,33425,E6 ,Lecture-Discussion,"Robinson, D",RHET,Rhetoric and Composition,2024,Spring 2024
443,68567,A  ,Lecture-Discussion,"Altshuler, M",CI,Curriculum and Instruction,2024,Spring 2024
444,70540,GG3,Studio,"Marble, J",ARTD,Art--Design,2024,Spring 2024
172,34067,ADF,Discussion/Recitation,"Barrett, M;Wallis, B",HIST,History,2024,Spring 2024
604,62735,3  ,Lecture,"Moore, M",LAW,Law,2024,Spring 2024
320,30958,1  ,Lecture,"Wolters, M",BADM,Business Administration,2024,Spring 2024
200,34357,A  ,Lecture-Discussion,"Frumer, D",SOC,Sociology,2024,Spring 2024
377,73393,GLT,Online Lecture Discussion,"Powers, K",ENG,Engineering,2024,Spring 2024
407,74456,MS ,Online,"Padmanabhan, A",GGIS,Geography & Geographic Information Science,2024,Spring 2024
393,72254,JAS,Internship,"Smist, J",ALEC,"Agricultural Leadership, Education, and Communications Program",2024,Spring 2024
598,64411,IN2,Lecture-Discussion,"Wickesberg, B",NEUR,Neuroscience,2024,Spring 2024
105,58796,E7 ,Lecture-Discussion,"McLeer, H",RHET,Rhetoric and Composition,2024,Spring 2024
199,68015,AMB,Discussion/Recitation,"Boone, A",ABE,Agricultural and Biological Engineering,2024,Spring 2024
100,37946,AD1,Discussion/Recitation,"Salazar, Z;Yang, Y",PS,Political Science,2024,Spring 2024
172,34078,AL1,Lecture,"Barrett, M",HIST,History,2024,Spring 2024
200,68593,AL1,Lecture,"Lee, T;Veerabagu, M",ME,Mechanical Engineering,2024,Spring 2024
232,31838,A  ,Laboratory,"Allen, B;Amiri, B;Brandano, J;Gonzalez, G;Tecza, A",DANC,Dance,2024,Spring 2024
406,48761,A1 ,Lecture-Discussion,"Ozcan, A;Saadah, E",TURK,Turkish,2024,Spring 2024
604,49615,3G ,Lecture-Discussion,"Moore, M",LAW,Law,2024,Spring 2024
320,55843,OL ,Online,"Kim, M",BADM,Business Administration,2024,Spring 2024
599,10466,,Independent Study,,ITAL,Italian,2024,Spring 2024
407,74454,ONL,Online,"Padmanabhan, A",GGIS,Geography & Geographic Information Science,2024,Spring 2024
499,75800,LR1,Lecture-Discussion;Online Lecture Discussion,"Rodriguez, L;Rodriguez, L",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
590,44921,,Independent Study,,CDB,Cell and Developmental Biology,2024,Spring 2024
105,33337,F1 ,Lecture-Discussion,"Cole, M",RHET,Rhetoric and Composition,2024,Spring 2024
100,37949,AD2,Discussion/Recitation,"Salazar, Z;Yang, Y",PS,Political Science,2024,Spring 2024
598,54906,IO ,Lecture-Discussion,"Newman, D",NEUR,Neuroscience,2024,Spring 2024
444,31945,ECP,Online,"Blacker, A",CI,Curriculum and Instruction,2024,Spring 2024
200,68594,AL2,Lecture,"Bielawski, M;Garimella, V;Xu, Y",ME,Mechanical Engineering,2024,Spring 2024
448,61984,A  ,Lecture,"Kendall, J",ARTD,Art--Design,2024,Spring 2024
604,62734,4  ,Lecture,"Hurd, H",LAW,Law,2024,Spring 2024
201,71806,MK ,Lecture-Discussion,"Khan, M",SOC,Sociology,2024,Spring 2024
105,33335,F2 ,Lecture-Discussion,"Crosby, T",RHET,Rhetoric and Composition,2024,Spring 2024
100,37952,AD3,Discussion/Recitation,"Park, J;Yang, Y",PS,Political Science,2024,Spring 2024
398,53221,GE1,Lecture-Discussion,"Powers, K",ENG,Engineering,2024,Spring 2024
173,34079,AD1,Discussion/Recitation,"Barrett, M;Lawton, B",HIST,History,2024,Spring 2024
499,75853,LR2,Lecture-Discussion;Lecture-Discussion;Online Discussion,"Rodriguez, L;Rodriguez, L;Rodriguez, L",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
322,31038,D  ,Lecture-Discussion,"Bao, Y",BADM,Business Administration,2024,Spring 2024
598,57828,LC ,Lecture-Discussion,"Federmeier, K",NEUR,Neuroscience,2024,Spring 2024
245,61018,A  ,Laboratory,"Ayorinde, O;Brandano, J;D� Orl�ans Juste, R;Marini, N",DANC,Dance,2024,Spring 2024
490,74796,A  ,Online,"Rosch, D",ALEC,"Agricultural Leadership, Education, and Communications Program",2024,Spring 2024
436,75587,A  ,Lecture-Discussion,"Punyasena, S",GGIS,Geography & Geographic Information Science,2024,Spring 2024
490,52524,A1 ,Lecture-Discussion,"Ozcan, A;Saadah, E",TURK,Turkish,2024,Spring 2024
225,57090,AB1,Laboratory,"Zhang, Y",ABE,Agricultural and Biological Engineering,2024,Spring 2024
604,51609,4G ,Lecture-Discussion,"Hurd, H",LAW,Law,2024,Spring 2024
105,33338,F3 ,Lecture-Discussion,"Williams, J",RHET,Rhetoric and Composition,2024,Spring 2024
100,37961,AD5,Discussion/Recitation,"Park, J;Yang, Y",PS,Political Science,2024,Spring 2024
595,44945,A  ,Conference,"Li, X",CDB,Cell and Developmental Biology,2024,Spring 2024
173,34080,AD2,Discussion/Recitation,"Barrett, M;Lawton, B",HIST,History,2024,Spring 2024
398,55572,GE2,Lecture-Discussion,"Powers, K",ENG,Engineering,2024,Spring 2024
322,31040,E  ,Lecture-Discussion,"Kim, M",BADM,Business Administration,2024,Spring 2024
598,57827,PJC,Lecture-Discussion,"Fraley, R",NEUR,Neuroscience,2024,Spring 2024
225,57091,AB2,Laboratory,"Zhang, Y",ABE,Agricultural and Biological Engineering,2024,Spring 2024
105,33374,F4 ,Lecture-Discussion,"Anthony, C",RHET,Rhetoric and Composition,2024,Spring 2024
445,70455,A  ,Online,,CI,Curriculum and Instruction,2024,Spring 2024
100,37968,AD6,Discussion/Recitation,"Park, J;Yang, Y",PS,Political Science,2024,Spring 2024
595,44947,C  ,Conference,"Li, X",CDB,Cell and Developmental Biology,2024,Spring 2024
202,34732,B  ,Lecture-Discussion,"Hirata, S;Zeng, H",JAPN,Japanese,2024,Spring 2024
471,65182,GD1,Studio,"Marble, J",ARTD,Art--Design,2024,Spring 2024
202,56858,ZI ,Online Lecture,"Ibaorimi, Z",SOC,Sociology,2024,Spring 2024
270,63246,AB1,Laboratory,"Dai, Y",ME,Mechanical Engineering,2024,Spring 2024
173,34081,AL1,Lecture,"Barrett, M",HIST,History,2024,Spring 2024
322,40724,F  ,Lecture-Discussion,"Kim, M",BADM,Business Administration,2024,Spring 2024
398,55574,GE3,Lecture-Discussion,"Powers, K",ENG,Engineering,2024,Spring 2024
439,75794,A  ,Laboratory-Discussion,"Kolak, M",GGIS,Geography & Geographic Information Science,2024,Spring 2024
598,74533,,Independent Study,,ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
105,39344,F5 ,Lecture-Discussion,"Canipe, J",RHET,Rhetoric and Composition,2024,Spring 2024
100,38754,AD7,Discussion/Recitation,"Salazar, Z;Yang, Y",PS,Political Science,2024,Spring 2024
598,54908,QUA,Lecture-Discussion,"Zhang, S",NEUR,Neuroscience,2024,Spring 2024
491,74797,A  ,Online,"Rosch, D",ALEC,"Agricultural Leadership, Education, and Communications Program",2024,Spring 2024
256,72290,A  ,Laboratory,"Aprahamian, S",DANC,Dance,2024,Spring 2024
225,57089,AE1,Lecture-Discussion,"Zhang, Y",ABE,Agricultural and Biological Engineering,2024,Spring 2024
606,35898,A  ,Lecture-Discussion,"Mazzone, J",LAW,Law,2024,Spring 2024
202,34735,C  ,Lecture-Discussion,"Hirata, S;Lu, Y",JAPN,Japanese,2024,Spring 2024
471,72182,GD3,Studio,"Robinson, S;Xiao, Y",ARTD,Art--Design,2024,Spring 2024
270,63247,AB2,Laboratory,"Zou, H",ME,Mechanical Engineering,2024,Spring 2024
598,76036,AM ,Packaged Section,"Green-Miller, A",ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
105,70289,F7 ,Online,"Pacheco, H",RHET,Rhetoric and Composition,2024,Spring 2024
100,37971,AL1,Lecture,"Yang, Y",PS,Political Science,2024,Spring 2024
598,59445,SJC,Lecture-Discussion,"Kurdi, B",NEUR,Neuroscience,2024,Spring 2024
199,10358,,Independent Study,,HIST,History,2024,Spring 2024
599,44922,,Independent Study,,CDB,Cell and Developmental Biology,2024,Spring 2024
446,64886,A  ,Lecture-Discussion,"Nunez Cortez, I;Wawire, P",CI,Curriculum and Instruction,2024,Spring 2024
323,31053,A  ,Lecture-Discussion,"Raquel, S",BADM,Business Administration,2024,Spring 2024
606,53806,AG ,Lecture,"Mazzone, J",LAW,Law,2024,Spring 2024
256,72295,B  ,Laboratory,"Caldarella, P;Rogovoy, A",DANC,Dance,2024,Spring 2024
102,37287,VS ,Lecture-Discussion,"Naumovska, T;Sobol, V",UKR,Ukrainian,2024,Spring 2024
471,74824,GD4,Studio,"Alzate Mora, C",ARTD,Art--Design,2024,Spring 2024
202,34736,D  ,Lecture-Discussion,"Hirata, S",JAPN,Japanese,2024,Spring 2024
460,74189,A3 ,Laboratory;Lecture,"Wang, J;Wang, J",GGIS,Geography & Geographic Information Science,2024,Spring 2024
270,63250,AB3,Laboratory,"Zhao, Y",ME,Mechanical Engineering,2024,Spring 2024
221,39030,A  ,Lecture-Discussion,"Gavin, C",SOC,Sociology,2024,Spring 2024
411,73388,EA ,Lecture-Discussion,"Amos, J;Brown, J",ENG,Engineering,2024,Spring 2024
105,33375,G1 ,Lecture-Discussion,"McLeer, H",RHET,Rhetoric and Composition,2024,Spring 2024
598,54910,SPO,Lecture-Discussion,"Rios, K",NEUR,Neuroscience,2024,Spring 2024
492,74798,A  ,Online,"Rosch, D",ALEC,"Agricultural Leadership, Education, and Communications Program",2024,Spring 2024
323,31055,B  ,Lecture-Discussion,"Raquel, S",BADM,Business Administration,2024,Spring 2024
460,74188,A4 ,Lecture;Packaged Section,"Wang, J;Wang, J",GGIS,Geography & Geographic Information Science,2024,Spring 2024
270,63251,AB4,Laboratory,"Dai, Y",ME,Mechanical Engineering,2024,Spring 2024
226,57087,AB1,Laboratory,"Maitra, S;Mishra, S;Singh, V",ABE,Agricultural and Biological Engineering,2024,Spring 2024
606,35900,B  ,Lecture-Discussion,"Mazzone, J",LAW,Law,2024,Spring 2024
202,34739,X  ,Lecture-Discussion,"Hirata, S",JAPN,Japanese,2024,Spring 2024
105,33376,G2 ,Lecture-Discussion,"Williams, J",RHET,Rhetoric and Composition,2024,Spring 2024
101,37978,AD2,Discussion/Recitation,"Jablow, Z",PS,Political Science,2024,Spring 2024
200,34112,A  ,Lecture-Discussion,"Micale, M",HIST,History,2024,Spring 2024
599,74535,,Independent Study,,ETMA,Engineering Technology and Management for Agricultural Systems,2024,Spring 2024
606,51807,BG ,Lecture-Discussion,"Mazzone, J",LAW,Law,2024,Spring 2024
447,75962,A  ,Online,"Stalter, K",CI,Curriculum and Instruction,2024,Spring 2024
260,63390,A  ,Laboratory;Packaged Section,"Aprahamian, S;D� Orl�ans Juste, R;Nance, C;Aprahamian, S;D� Orl�ans Juste, R;Nance, C",DANC,Dance,2024,Spring 2024
199,10282,,Independent Study,,UKR,Ukrainian,2024,Spring 2024
226,57088,AB2,Laboratory,"Maitra, S;Mishra, S;Singh, V",ABE,Agricultural and Biological Engineering,2024,Spring 2024
499,65501,CAG,Studio,"Araujo de Aguiar, C",ARTD,Art--Design,2024,Spring 2024
270,63252,AB5,Laboratory,"Zou, H",ME,Mechanical Engineering,2024,Spring 2024
105,39346,G3 ,Lecture-Discussion,"Anthony, C",RHET,Rhetoric and Composition,2024,Spring 2024
223,63817,DMC,Lecture-Discussion,"O'Byrn, E",SOC,Sociology,2024,Spring 2024
101,37981,AD3,Discussion/Recitation,"Jablow, Z",PS,Political Science,2024,Spring 2024
200,34114,C  ,Lecture-Discussion,"Chaplin, T",HIST,History,2024,Spring 2024
201,31707,NP ,Lecture-Discussion,"Cai, X",CEE,Civil and Environmental Engineering,2024,Spring 2024
324,31057,A  ,Lecture-Discussion,"Haksoz, C",BADM,Business Administration,2024,Spring 2024
471,69615,ONC,Online,"Liebenberg, L",ENG,Engineering,2024,Spring 2024
465,75614,G1 ,Lecture-Discussion,"Cidell, J",GGIS,Geography & Geographic Information Science,2024,Spring 2024
599,10055,,Independent Study,,NEUR,Neuroscience,2024,Spring 2024
505,75828,A  ,Online,"Smist, J",ALEC,"Agricultural Leadership, Education, and Communications Program",2024,Spring 2024
105,33414,G4 ,Lecture-Discussion,"Pfister, J",RHET,Rhetoric and Composition,2024,Spring 2024
101,37985,AD4,Discussion/Recitation,"Jablow, Z",PS,Political Science,2024,Spring 2024
200,39385,D  ,Lecture-Discussion,"Jaimes, M",HIST,History,2024,Spring 2024
324,75573,B  ,Lecture-Discussion,"Haksoz, C",BADM,Business Administration,2024,Spring 2024
606,35902,C  ,Lecture-Discussion;Lecture-Discussion;Lecture-Discussion,"Amar, V;Amar, V;Amar, V",LAW,Law,2024,Spring 2024
204,34740,A  ,Lecture-Discussion,"Nozaki, C",JAPN,Japanese,2024,Spring 2024
499,53743,CAU,Studio,"Araujo de Aguiar, C",ARTD,Art--Design,2024,Spring 2024
270,63254,AB6,Laboratory,"Guo, Z",ME,Mechanical Engineering,2024,Spring 2024
226,57086,AE1,Lecture-Discussion,"Singh, V",ABE,Agricultural and Biological Engineering,2024,Spring 2024
465,75613,U1 ,Lecture-Discussion,"Cidell, J",GGIS,Geography & Geographic Information Science,2024,Spring 2024
471,55717,ONL,Online,"Liebenberg, L",ENG,Engineering,2024,Spring 2024
105,53930,G5 ,Online,"Pacheco, H",RHET,Rhetoric and Composition,2024,Spring 2024
101,38041,AL1,Lecture,"Sin, G",PS,Political Science,2024,Spring 2024
202,31708,E  ,Lecture-Discussion,"Tessum, C;Thammineni, H",CEE,Civil and Environmental Engineering,2024,Spring 2024
200,39387,F  ,Lecture-Discussion,"Asaka, I",HIST,History,2024,Spring 2024
270,63255,AB7,Laboratory,"Zhao, Y",ME,Mechanical Engineering,2024,Spring 2024
499,59101,MBG,Studio,"Briggs, M",ARTD,Art--Design,2024,Spring 2024
448,63328,C1 ,Lecture-Discussion,"McMillian, R",CI,Curriculum and Instruction,2024,Spring 2024
270,74256,A  ,Laboratory,"Gonzalez, G",DANC,Dance,2024,Spring 2024
606,45724,CG ,Lecture-Discussion,"Amar, V",LAW,Law,2024,Spring 2024
202,42103,VS ,Lecture-Discussion,"Sobol, V",UKR,Ukrainian,2024,Spring 2024
204,46969,B  ,Lecture-Discussion,"Nozaki, C",JAPN,Japanese,2024,Spring 2024
230,72884,IR ,Lecture-Discussion,"Redstone, I",SOC,Sociology,2024,Spring 2024
105,33280,GC ,Lecture-Discussion,"Cole, M",RHET,Rhetoric and Composition,2024,Spring 2024
199,75504,A  ,Lecture,,EURO,European Union Studies,2024,Spring 2024
325,31059,A  ,Lecture-Discussion,"Noel, H",BADM,Business Administration,2024,Spring 2024
270,63256,AB8,Laboratory,"Guo, J",ME,Mechanical Engineering,2024,Spring 2024
499,59100,MBU,Studio,"Briggs, M",ARTD,Art--Design,2024,Spring 2024
466,75617,G  ,Online,"Lavey, W",GGIS,Geography & Geographic Information Science,2024,Spring 2024
491,55653,CU1,Lecture,"Lembeck, M",ENG,Engineering,2024,Spring 2024
448,63329,C2 ,Lecture-Discussion,"McClellan, A",CI,Curriculum and Instruction,2024,Spring 2024
204,34744,D  ,Lecture-Discussion,"Nozaki, C",JAPN,Japanese,2024,Spring 2024
232,76255,AW ,Online Lecture,"Lawson-Bulten, E;Witmer, A",ABE,Agricultural and Biological Engineering,2024,Spring 2024
105,33300,H1 ,Lecture-Discussion,"Pfister, J",RHET,Rhetoric and Composition,2024,Spring 2024
125,67575,IIW,Lecture-Discussion,"Mayer, A",PS,Political Science,2024,Spring 2024
100,29911,AB1,Laboratory;Laboratory,"Harsh, B;Harsh, B",ANSC,Animal Sciences,2024,Spring 2024
300,36257,AB1,Laboratory,"Abdelrahman, M;Iqbal, F",CEE,Civil and Environmental Engineering,2024,Spring 2024
101,34624,A  ,Lecture,"Andruczyk, D",NPRE,"Nuclear, Plasma, and Radiological Engineering",2024,Spring 2024
